id,features
1082,"[0.2911335229873657, 0.44873619079589844, 0.35052618384361267, 0.3537299335002899, 0.34907153248786926, 0.6771074533462524, 0.6119934320449829, 0.7627972960472107, 0.24757632613182068, 0.5339110493659973]"
1092,"[0.5473021864891052, 0.6554067134857178, 0.4714508354663849, 0.26703882217407227, 0.197604238986969, 0.7067152857780457, 0.32291141152381897, 0.18502551317214966, 0.23964543640613556, 0.8849548101425171]"
1102,"[0.0, 0.0, 0.7243801951408386, 0.0, 0.0, 0.0, 0.042835161089897156, 1.7176365852355957, 1.089455246925354, 0.28086578845977783]"
1112,"[0.011597802862524986, 0.03799647092819214, 0.5777819752693176, 0.40394046902656555, 0.5316364765167236, 0.4229685366153717, 0.0, 1.143417477607727, 0.3880409598350525, 0.5720903277397156]"
1132,"[0.5098490715026855, 0.4391956031322479, 0.3457147181034088, 0.7171956896781921, 0.008007637225091457, 0.933999240398407, 0.4300386905670166, 0.9069163799285889, 0.0, 0.5227609276771545]"
1142,"[0.31167837977409363, 0.5218660235404968, 0.17692822217941284, 0.5646933317184448, 0.2695397436618805, 0.134932741522789, 0.14541959762573242, 0.3690299987792969, 0.33022791147232056, 0.3946180045604706]"
1152,"[0.0, 0.217388316988945, 0.14236614108085632, 0.13356289267539978, 0.9385392665863037, 0.27297669649124146, 0.9483597874641418, 0.8495916724205017, 0.6015016436576843, 0.5438981056213379]"
1162,"[0.4990245997905731, 0.23004256188869476, 0.5470948219299316, 0.37082594633102417, 0.5294017791748047, 0.9834035038948059, 0.4316265881061554, 0.8782971501350403, 0.10154760628938675, 0.4031432569026947]"
1172,"[0.3101538419723511, 0.565972626209259, 0.30292657017707825, 0.7271362543106079, 0.19849854707717896, 0.6754498481750488, 1.00648033618927, 0.8392676711082458, 0.032925598323345184, 0.3751479387283325]"
1192,"[0.5283805727958679, 0.057618916034698486, 0.6789754033088684, 0.5598170757293701, 0.3165300488471985, 0.36887335777282715, 0.1759386658668518, 1.3188878297805786, 0.37914374470710754, 0.5389448404312134]"
1202,"[0.6680377125740051, 0.11684653908014297, 0.08357352763414383, 0.0, 0.8325545191764832, 0.5082240104675293, 0.9586625099182129, 0.5694491267204285, 0.0, 0.8315956592559814]"
1212,"[0.21430502831935883, 0.2973528802394867, 0.308281809091568, 0.6529719829559326, 0.724725067615509, 0.8850604295730591, 0.564277708530426, 0.9437761902809143, 0.20942720770835876, 0.5198484659194946]"
1222,"[0.5378113985061646, 0.45383530855178833, 0.40371978282928467, 0.017864840105175972, 0.4059301018714905, 0.6763328313827515, 0.7747794389724731, 0.807969331741333, 0.14226777851581573, 0.8027682304382324]"
1232,"[0.06265129148960114, 0.0, 0.0896722599864006, 0.630016028881073, 1.3435999155044556, 0.4648021161556244, 0.16329482197761536, 0.8319941759109497, 0.30859026312828064, 0.46351099014282227]"
1242,"[0.35242798924446106, 0.7456614971160889, 0.1887935996055603, 0.47071197628974915, 0.09078430384397507, 0.8292182683944702, 0.6494417786598206, 0.702947735786438, 0.0, 0.7235864996910095]"
1252,"[0.264893501996994, 0.33747532963752747, 0.31961607933044434, 0.34104016423225403, 0.6601364016532898, 0.9947553277015686, 0.6218529343605042, 0.9499388933181763, 0.05660027638077736, 0.5145155787467957]"
1262,"[0.3824669122695923, 0.7855724692344666, 0.18263845145702362, 0.45710837841033936, 0.29532209038734436, 0.8876233100891113, 0.6716355681419373, 0.694659948348999, 0.1096017062664032, 0.6946396827697754]"
1272,"[0.22208674252033234, 0.5786653757095337, 0.19512440264225006, 0.3310723900794983, 0.40887191891670227, 1.01494300365448, 0.6778212785720825, 0.604628324508667, 0.055611614137887955, 0.8389197587966919]"
1282,"[0.39080551266670227, 0.34213751554489136, 0.07995790243148804, 0.7220150232315063, 0.5497571229934692, 0.7693803906440735, 0.30775320529937744, 0.926163911819458, 0.0, 0.5132243633270264]"
1292,"[0.43398556113243103, 0.38830459117889404, 0.30063387751579285, 0.33865952491760254, 0.4144982695579529, 0.8517706394195557, 0.6074751615524292, 0.83707195520401, 0.20572051405906677, 0.48596256971359253]"
1302,"[0.1605548858642578, 0.7778284549713135, 0.1748635619878769, 0.696215808391571, 0.11168830841779709, 0.6185150146484375, 0.711876630783081, 0.47150903940200806, 0.0, 0.6819904446601868]"
1312,"[0.3125169575214386, 0.45095276832580566, 1.1227089166641235, 0.9964040517807007, 0.9837557077407837, 0.0, 0.0013914585579186678, 0.7937096357345581, 0.579920768737793, 0.0]"
1322,"[0.4960896968841553, 0.2523307204246521, 0.06673572212457657, 0.05274651199579239, 0.0035565521102398634, 0.3602548837661743, 0.0469852015376091, 0.0, 0.9279791116714478, 0.535815417766571]"
1332,"[0.2148946225643158, 0.2576208710670471, 0.31213584542274475, 0.41800567507743835, 0.321515291929245, 0.1785002201795578, 0.15037816762924194, 0.3697153627872467, 0.3368721306324005, 1.0737323760986328]"
1342,"[0.08485545217990875, 0.0, 0.08298204094171524, 0.29765692353248596, 0.3719804584980011, 0.16974526643753052, 0.28258711099624634, 0.4644264876842499, 0.40557774901390076, 1.2241021394729614]"
1352,"[0.2055610865354538, 0.514878511428833, 0.5281348824501038, 0.03213927522301674, 0.4541168808937073, 0.6344643831253052, 0.10237952321767807, 0.6807772517204285, 0.09763437509536743, 0.44142207503318787]"
1362,"[0.3512350022792816, 0.339633047580719, 0.0, 0.7972174286842346, 0.5353480577468872, 1.015179991722107, 0.4233963191509247, 0.9659119248390198, 0.07894845306873322, 0.17885392904281616]"
1372,"[0.11397557705640793, 0.8527578711509705, 0.14391151070594788, 0.39982983469963074, 0.0, 0.4922947883605957, 0.007268744520843029, 0.7826814651489258, 0.2561154365539551, 0.6566445827484131]"
1382,"[0.280207097530365, 1.088631510734558, 0.15040519833564758, 0.2229240983724594, 0.37028589844703674, 0.1842508316040039, 0.0, 0.0, 0.6564222574234009, 0.6158384680747986]"
1392,"[0.2225068211555481, 0.17368930578231812, 0.616623044013977, 0.22278326749801636, 0.4322003722190857, 0.6466860771179199, 0.40262043476104736, 1.0326718091964722, 0.19626589119434357, 0.5697368383407593]"
1412,"[0.6491715312004089, 0.4195419251918793, 0.2140548825263977, 0.418195903301239, 0.005603655707091093, 0.9170624613761902, 1.1379693746566772, 0.5018972754478455, 0.0, 0.4569196105003357]"
1422,"[0.32840296626091003, 0.7693753838539124, 0.38020044565200806, 0.6239193081855774, 0.08880718797445297, 0.5608444809913635, 0.11112131923437119, 0.00564519502222538, 0.20092320442199707, 0.6714773774147034]"
1432,"[0.0, 0.8341651558876038, 0.3072761595249176, 0.32729917764663696, 0.3692435324192047, 0.14319664239883423, 0.04497455060482025, 0.27013859152793884, 0.40427350997924805, 0.7013725638389587]"
1442,"[0.6709657907485962, 0.6721545457839966, 0.2528742849826813, 0.5197150707244873, 0.39024776220321655, 0.38673466444015503, 0.6737885475158691, 0.006688195746392012, 0.29180920124053955, 0.3904899060726166]"
1472,"[0.4795718491077423, 0.7365883588790894, 0.0, 0.3354204297065735, 0.521966814994812, 0.652507483959198, 0.27349427342414856, 0.5904729962348938, 0.01954701729118824, 0.42146867513656616]"
1482,"[0.29185613989830017, 0.31578782200813293, 0.24433405697345734, 0.527280330657959, 0.8080162405967712, 0.39324620366096497, 0.30681243538856506, 0.8766721487045288, 0.0760025903582573, 0.3980858027935028]"
1502,"[0.545800507068634, 0.0, 0.0, 0.079388827085495, 0.7274326086044312, 1.1746015548706055, 0.1301751732826233, 0.7898104786872864, 0.4919065535068512, 0.35709723830223083]"
1522,"[0.0, 0.2556048631668091, 0.3693118989467621, 0.10301866382360458, 0.7716899514198303, 0.20561031997203827, 0.0027404148131608963, 0.4770505726337433, 0.11623239517211914, 0.35959115624427795]"
1532,"[0.20806051790714264, 0.4138287305831909, 0.25596752762794495, 0.3453196585178375, 0.11603233963251114, 0.40260496735572815, 0.5468188524246216, 0.5601537823677063, 0.2076842039823532, 0.7174311876296997]"
1542,"[0.4491541385650635, 0.6126254200935364, 0.17277701199054718, 0.6324261426925659, 0.28218257427215576, 0.655815839767456, 0.5081571340560913, 0.5539259910583496, 0.06114231422543526, 0.33273816108703613]"
1552,"[0.27550607919692993, 1.133810043334961, 0.39169415831565857, 0.372302770614624, 0.2738940417766571, 0.13301706314086914, 0.16984358429908752, 0.24584555625915527, 0.10333061218261719, 0.7220907807350159]"
1562,"[0.08265756070613861, 0.9073165655136108, 0.11891142278909683, 0.6082475185394287, 0.10064778476953506, 0.13294878602027893, 0.0, 0.0, 0.37556523084640503, 0.4703454375267029]"
1572,"[0.7786945700645447, 0.1598867028951645, 0.3820057213306427, 0.0, 1.419567584991455, 0.669095516204834, 0.660556972026825, 0.6415902972221375, 0.09469462931156158, 0.11255710572004318]"
1582,"[0.5002716779708862, 0.6352086663246155, 0.08971887081861496, 1.0315310955047607, 0.3595867455005646, 0.21408160030841827, 0.0, 0.04586724936962128, 0.0, 0.8157396912574768]"
1592,"[0.0, 0.22937345504760742, 0.15762130916118622, 1.175338864326477, 0.2938452363014221, 0.19000233709812164, 0.25162431597709656, 0.2922157347202301, 0.17695875465869904, 0.38790783286094666]"
1602,"[0.0, 0.7029407620429993, 0.29162508249282837, 0.0024882240686565638, 0.11097489297389984, 0.0, 0.38711705803871155, 0.0, 0.30785441398620605, 0.550162672996521]"
1612,"[0.6730741262435913, 0.7283685207366943, 0.10402601212263107, 1.1166743040084839, 0.0, 0.5242807269096375, 0.25967127084732056, 0.30745282769203186, 0.2647808790206909, 0.21163615584373474]"
1622,"[0.1319706290960312, 0.16929005086421967, 0.28139740228652954, 0.5828470587730408, 0.5238068699836731, 0.3442286550998688, 0.16075676679611206, 0.8096104860305786, 0.7775892615318298, 0.5306704044342041]"
1632,"[0.0, 0.8203302621841431, 0.0, 0.5275187492370605, 0.3414381742477417, 0.37323224544525146, 0.0, 0.0, 0.4345753490924835, 0.2137187123298645]"
1642,"[0.008100726641714573, 0.92011559009552, 0.27617940306663513, 0.40729936957359314, 0.0, 0.40821343660354614, 0.4143751263618469, 0.09462685137987137, 0.38617125153541565, 0.6762763261795044]"
1652,"[0.8493229746818542, 0.13540169596672058, 0.3242339789867401, 0.21159163117408752, 1.1130144596099854, 0.6481959223747253, 0.22147442400455475, 0.6792146563529968, 0.6896766424179077, 0.5758163332939148]"
1662,"[0.2319701761007309, 0.43117237091064453, 0.40682631731033325, 0.0, 0.4661048948764801, 0.7612600326538086, 0.0, 0.0, 0.6568554043769836, 0.5511202216148376]"
1672,"[0.12411335855722427, 0.7171499729156494, 0.5520329475402832, 0.5896023511886597, 0.3312212824821472, 0.4285074770450592, 0.577626645565033, 0.3992852568626404, 0.15089111030101776, 0.5724589824676514]"
1682,"[0.26579248905181885, 0.7101195454597473, 0.356172114610672, 0.5738551616668701, 0.2176668494939804, 0.3109376132488251, 0.5409327745437622, 0.9481475949287415, 0.03475453332066536, 0.5590023994445801]"
1692,"[0.2979010045528412, 0.7506849765777588, 0.8212742209434509, 0.0, 0.3044672906398773, 0.0, 0.0, 0.7149595618247986, 0.35930442810058594, 0.6407249569892883]"
1702,"[0.02350960671901703, 0.7214065194129944, 0.0, 0.7818521857261658, 0.0, 0.0, 0.09345419704914093, 0.2525350749492645, 0.43383777141571045, 0.5270214676856995]"
1722,"[0.15892693400382996, 1.047134280204773, 0.2104007750749588, 0.3300163149833679, 0.16244982182979584, 0.5720162391662598, 0.1399124264717102, 0.47833800315856934, 0.21373550593852997, 0.5793271064758301]"
1732,"[0.25106051564216614, 0.3486352860927582, 0.5133426189422607, 0.0, 0.6162691116333008, 0.2604505121707916, 0.9241579174995422, 0.9625977873802185, 0.22989995777606964, 0.5343112349510193]"
1752,"[0.2823820114135742, 0.9796690940856934, 0.38256579637527466, 0.24250957369804382, 0.2878516614437103, 0.09964753687381744, 0.0, 0.008466912433505058, 0.35898157954216003, 0.7507111430168152]"
1762,"[0.1518719494342804, 0.5971084237098694, 0.331939160823822, 0.22045886516571045, 0.5140465497970581, 0.08643689006567001, 0.0, 0.23556803166866302, 0.1961146891117096, 0.8879769444465637]"
1772,"[0.0, 0.6904619336128235, 0.03200572729110718, 0.5836078524589539, 0.0, 0.16191157698631287, 0.0, 0.42824849486351013, 0.816107451915741, 0.43965983390808105]"
1782,"[0.25511816143989563, 0.11143282800912857, 0.23595838248729706, 0.21919965744018555, 0.11827701330184937, 0.30243051052093506, 0.4699331820011139, 0.4735541343688965, 0.06573862582445145, 0.30930694937705994]"
1792,"[0.42139363288879395, 0.9680607914924622, 0.26649850606918335, 0.3771528899669647, 0.30299097299575806, 0.3411368131637573, 0.09110630303621292, 0.0569961853325367, 0.3059026598930359, 0.7608821392059326]"
1812,"[0.5725839138031006, 0.7335285544395447, 0.044546592980623245, 0.5663356781005859, 0.0, 1.0263372659683228, 0.16331849992275238, 0.6703708171844482, 0.4457661807537079, 0.22730553150177002]"
1822,"[0.11995144188404083, 0.0, 0.07824469357728958, 0.39939209818840027, 0.0, 0.23174810409545898, 0.0, 0.4560021162033081, 0.4055666923522949, 0.4265950918197632]"
1832,"[0.4187694191932678, 0.8084757328033447, 0.3793295919895172, 0.724479079246521, 0.2748444676399231, 0.45714813470840454, 0.3844975233078003, 0.329339861869812, 0.281039834022522, 0.5095189809799194]"
1842,"[0.6157216429710388, 0.5440871119499207, 0.23368455469608307, 0.6899418830871582, 0.28562799096107483, 0.3833186626434326, 0.2170577347278595, 0.5459915399551392, 0.2597500681877136, 0.3509078323841095]"
1852,"[0.012021762318909168, 0.5860508680343628, 0.09147908538579941, 0.2172924429178238, 0.04303152114152908, 0.1294139325618744, 0.35440775752067566, 0.22128687798976898, 0.07859790325164795, 0.30259883403778076]"
1862,"[0.3163362741470337, 0.4725790023803711, 0.06509128957986832, 0.17844730615615845, 0.47472357749938965, 0.07007748633623123, 0.0, 0.0, 0.3414974808692932, 0.7641840577125549]"
1872,"[0.8552051186561584, 0.19178685545921326, 0.0, 1.2652816772460938, 0.0, 0.5768330097198486, 0.34001535177230835, 0.15590767562389374, 0.36741259694099426, 0.45577874779701233]"
1882,"[0.01581523008644581, 1.0604451894760132, 0.022000133991241455, 0.4425225257873535, 0.5258563160896301, 0.0, 0.0, 0.0, 0.34115296602249146, 0.5074159502983093]"
1892,"[0.49781250953674316, 1.0387945175170898, 0.40107792615890503, 0.45341572165489197, 0.22258144617080688, 0.46382930874824524, 0.3189815580844879, 0.14172019064426422, 0.15055136382579803, 0.5186917185783386]"
1902,"[1.3195436000823975, 0.05668475478887558, 0.8545030355453491, 0.38834744691848755, 0.0801897644996643, 0.0, 0.4353264570236206, 0.9721369743347168, 0.04869460314512253, 0.28649774193763733]"
1912,"[0.1488354653120041, 0.42441749572753906, 0.454344242811203, 0.2764679193496704, 0.47368618845939636, 0.7132794857025146, 0.45193812251091003, 0.9977033734321594, 0.0429033525288105, 0.5485305786132812]"
1922,"[0.7217705845832825, 0.49000388383865356, 0.5660427212715149, 0.5135509371757507, 0.0, 0.8605650663375854, 0.583122193813324, 0.7387040257453918, 0.6993846893310547, 0.09381603449583054]"
1932,"[0.09597542881965637, 0.0, 0.0, 1.3963072299957275, 0.0718739777803421, 0.587983250617981, 0.33553919196128845, 0.5612632036209106, 0.19295218586921692, 0.5270364880561829]"
1942,"[0.3459392189979553, 0.4590270519256592, 0.20966412127017975, 0.5981782674789429, 0.34207016229629517, 0.8574092984199524, 0.6092314124107361, 0.8204278945922852, 0.2423056960105896, 0.44204315543174744]"
1952,"[0.48133814334869385, 0.08680570125579834, 0.49940377473831177, 0.4798983037471771, 0.6087971329689026, 0.9664171934127808, 0.5192369818687439, 0.7547326683998108, 0.14682209491729736, 0.5688163042068481]"
1962,"[0.2732854187488556, 0.4975547194480896, 0.4231788218021393, 0.8483139872550964, 0.013005814515054226, 0.7893776297569275, 0.571296215057373, 0.4784219264984131, 0.15235166251659393, 0.5792351365089417]"
1972,"[0.014516562223434448, 0.0, 0.0, 0.17301055788993835, 0.0, 0.03210698813199997, 0.2393185943365097, 0.3016733229160309, 0.5130898952484131, 0.9849863052368164]"
1982,"[0.13245220482349396, 0.0, 0.0873861163854599, 0.2710218131542206, 0.7155780792236328, 0.42799627780914307, 0.4076128602027893, 0.530373752117157, 0.11545529961585999, 1.4946180582046509]"
1992,"[0.06569206714630127, 0.08552591502666473, 0.4171774387359619, 0.09365451335906982, 0.3079092800617218, 0.0, 0.0, 0.0, 0.7901631593704224, 1.0365190505981445]"
2002,"[0.07844167202711105, 1.1915338039398193, 0.20470412075519562, 0.3488977551460266, 0.0, 0.3184576630592346, 0.2109174132347107, 0.3264233469963074, 0.20161040127277374, 0.6513074636459351]"
2012,"[0.0, 0.7807657122612, 0.0, 0.5076767802238464, 0.0, 0.3537510931491852, 0.08630666136741638, 0.6744028925895691, 0.2469649761915207, 0.7489182353019714]"
2022,"[0.3271219730377197, 0.15208812057971954, 0.4289248585700989, 0.0, 0.8107137680053711, 0.5699732303619385, 0.384340763092041, 1.1434319019317627, 0.04797126352787018, 0.37487322092056274]"
2032,"[0.055996157228946686, 0.41621899604797363, 0.07193534076213837, 1.3332692384719849, 0.003137137508019805, 0.18529187142848969, 0.0, 0.36237406730651855, 0.046304695308208466, 0.6084974408149719]"
2042,"[0.0, 0.7120914459228516, 0.0, 0.9187573194503784, 0.0, 0.0, 0.0, 0.1823960691690445, 0.5549483299255371, 0.6825693249702454]"
2052,"[0.32167744636535645, 0.7109177112579346, 0.33355188369750977, 0.7675307989120483, 0.30768972635269165, 0.016947127878665924, 0.0, 0.14547935128211975, 0.5916908383369446, 0.6606377959251404]"
2062,"[0.5420294404029846, 0.07244590669870377, 0.42748063802719116, 0.660291850566864, 0.6930244565010071, 0.033990100026130676, 0.25280195474624634, 1.0914212465286255, 0.32314205169677734, 0.27852731943130493]"
2072,"[0.07988050580024719, 0.9116197824478149, 0.5321457982063293, 0.1348462700843811, 0.23116694390773773, 0.19291073083877563, 0.08873771876096725, 0.6465728282928467, 0.3215588629245758, 0.42330530285835266]"
2082,"[0.03315943107008934, 0.9502331018447876, 0.0, 0.835095226764679, 0.0, 0.15635628998279572, 0.15765029191970825, 0.1963292807340622, 0.09303467720746994, 0.5924675464630127]"
2092,"[0.0, 0.30102238059043884, 0.0, 0.7707257866859436, 0.017191510647535324, 0.32297635078430176, 0.0, 0.2200096994638443, 0.5340766310691833, 0.6895323395729065]"
2102,"[0.07269588857889175, 0.07404221594333649, 0.0, 0.9895645976066589, 0.7614949941635132, 0.5544010996818542, 0.2631225287914276, 0.6009048819541931, 0.0, 0.7870767712593079]"
2112,"[0.5557018518447876, 0.5146008133888245, 0.21567121148109436, 0.6375696063041687, 0.24146434664726257, 0.5842133164405823, 0.45623302459716797, 0.47349491715431213, 0.213077574968338, 0.5401825904846191]"
2122,"[0.22508487105369568, 0.3491002917289734, 0.4576660990715027, 0.07545369118452072, 0.0, 0.0, 0.24760492146015167, 0.023482033982872963, 0.7797338366508484, 1.1165399551391602]"
2132,"[0.575529932975769, 0.011683578602969646, 0.533664882183075, 0.5631095767021179, 0.6514664888381958, 0.6862507462501526, 0.7024390697479248, 0.8387845158576965, 0.14438694715499878, 0.45582571625709534]"
2142,"[0.07508637011051178, 0.29880598187446594, 0.1491340845823288, 1.0099108219146729, 0.07840486615896225, 0.2426026314496994, 0.20096398890018463, 0.08228962123394012, 0.2192239910364151, 0.9736448526382446]"
2152,"[0.0, 0.5763336420059204, 0.0, 1.198237657546997, 0.6909688711166382, 0.24503278732299805, 0.019242849200963974, 0.0, 0.288875013589859, 0.014118682593107224]"
2162,"[0.3945220708847046, 0.5302420854568481, 0.0, 0.4356670379638672, 0.08225905150175095, 0.14038757979869843, 0.0, 0.3668285310268402, 0.6099842190742493, 0.49592122435569763]"
2172,"[0.10086829960346222, 0.7481526136398315, 0.07229159772396088, 0.8169956803321838, 0.10619926452636719, 0.34632444381713867, 0.4432780146598816, 0.4811911880970001, 0.22866207361221313, 0.5059272646903992]"
2182,"[0.1555415242910385, 0.4008794128894806, 0.017927194014191628, 0.3899371027946472, 0.8507919311523438, 0.7356001138687134, 0.779753565788269, 0.3643638491630554, 0.0, 0.5665155649185181]"
2192,"[0.0, 0.0, 0.0, 2.1481869220733643, 0.0, 0.21686694025993347, 0.0, 0.7100003361701965, 0.8455649614334106, 0.0]"
2202,"[0.3693016469478607, 0.5192771553993225, 0.20590651035308838, 0.36979156732559204, 0.4843979477882385, 0.7365215420722961, 0.5066162943840027, 0.8349658250808716, 0.016803352162241936, 0.6870129704475403]"
2212,"[0.2694757878780365, 0.38798508048057556, 0.050618115812540054, 0.6780044436454773, 0.6836157441139221, 0.9641230702400208, 0.5671648979187012, 0.5806527137756348, 0.200672909617424, 0.4083690643310547]"
2232,"[0.7217816114425659, 0.27566230297088623, 0.0, 0.37889984250068665, 0.08818686008453369, 0.1431346833705902, 0.18836550414562225, 0.963667631149292, 0.2846594750881195, 0.8753695487976074]"
2242,"[0.24925892055034637, 1.3567886352539062, 0.0, 0.9764407873153687, 0.5130198001861572, 0.21337823569774628, 0.0, 0.08225767314434052, 0.0, 0.1366323083639145]"
2252,"[0.334604948759079, 0.7680665850639343, 0.36621230840682983, 0.6156331896781921, 0.2622637450695038, 0.1806865930557251, 0.18542131781578064, 0.3906565308570862, 0.19572696089744568, 0.5532705187797546]"
2262,"[0.3893667161464691, 0.5987075567245483, 0.6295015811920166, 0.5410407185554504, 0.0, 0.22196288406848907, 0.45757877826690674, 0.2502579689025879, 0.20760375261306763, 0.738341748714447]"
2272,"[0.5143957734107971, 0.376271516084671, 0.8587930202484131, 0.6277317404747009, 0.679057240486145, 0.22711080312728882, 0.17321744561195374, 0.5363050103187561, 0.2222822904586792, 0.5552170872688293]"
2282,"[0.42269131541252136, 0.15117819607257843, 0.261893630027771, 0.41664254665374756, 0.4070946276187897, 0.2584646940231323, 0.2530553936958313, 1.243778109550476, 0.44094550609588623, 0.3945240378379822]"
2292,"[0.5311735272407532, 0.4152827560901642, 0.6429517865180969, 0.4320456385612488, 0.4724869430065155, 0.5380860567092896, 0.6635005474090576, 0.0, 0.3520669639110565, 0.03190341219305992]"
2302,"[0.013203163631260395, 0.8162419199943542, 0.2454589158296585, 0.527123749256134, 0.05832068994641304, 0.7417367100715637, 0.5696408748626709, 0.49976351857185364, 0.27427443861961365, 0.6508959531784058]"
2312,"[0.37939372658729553, 0.4989126920700073, 0.438837468624115, 0.8264071941375732, 0.11133629828691483, 0.5597296357154846, 0.5957036018371582, 0.6496995091438293, 0.12541380524635315, 0.48244911432266235]"
2322,"[0.25166943669319153, 1.0666866302490234, 0.1940276324748993, 0.25251129269599915, 0.6206777095794678, 0.33782193064689636, 0.0, 0.17464399337768555, 0.3820229172706604, 0.4164254665374756]"
2332,"[0.9133701324462891, 0.26138538122177124, 0.0703795924782753, 0.2855294346809387, 0.2705678343772888, 0.0, 0.0, 0.26502883434295654, 0.4046887457370758, 1.6724796295166016]"
2342,"[0.0, 0.4578026533126831, 0.0, 0.03938255086541176, 1.0734105110168457, 0.09688695520162582, 0.0, 1.7558789253234863, 0.6507858633995056, 0.0]"
2352,"[0.4568398892879486, 0.5640544891357422, 0.28114989399909973, 0.7325615882873535, 0.09573201090097427, 0.8358249068260193, 0.6898921728134155, 0.5468654632568359, 0.14530444145202637, 0.4072483777999878]"
2362,"[0.0, 0.0, 0.014509142376482487, 0.0, 1.6331807374954224, 0.15947824716567993, 0.3870473802089691, 0.6262608766555786, 0.8642688393592834, 0.028799543157219887]"
2372,"[0.0, 1.1305214166641235, 0.35216024518013, 0.13015326857566833, 0.0, 0.04964986443519592, 0.30584290623664856, 0.4435068368911743, 0.4792660176753998, 0.6128438115119934]"
2382,"[0.0, 0.33354878425598145, 0.0, 0.15606054663658142, 0.0, 0.0, 0.04512215405702591, 0.31038451194763184, 0.9398868680000305, 0.5901753306388855]"
2392,"[0.30616939067840576, 0.8248140811920166, 0.2006216049194336, 0.7130952477455139, 0.0, 0.01951088011264801, 0.0, 0.0, 0.3231782019138336, 0.42524343729019165]"
2402,"[0.0, 0.8900234699249268, 0.2759108543395996, 0.15490925312042236, 0.024071216583251953, 0.14535494148731232, 0.26902180910110474, 0.02229657769203186, 0.11035647243261337, 1.14297616481781]"
2412,"[0.02523847669363022, 0.7633458375930786, 0.4986855983734131, 0.13428403437137604, 0.0, 0.0, 0.048176221549510956, 0.0, 0.6707304120063782, 0.7338019013404846]"
2422,"[0.03813596069812775, 0.7177159190177917, 0.0, 0.44856372475624084, 0.0, 0.0, 0.10031017661094666, 0.1575419157743454, 0.42749932408332825, 0.5957571268081665]"
2432,"[0.0, 0.734440267086029, 0.47744020819664, 1.02188241481781, 0.0, 0.14894768595695496, 0.28047338128089905, 0.31311652064323425, 0.6117658019065857, 0.2387281209230423]"
2442,"[0.4788094460964203, 0.19297049939632416, 0.49844634532928467, 1.0078986883163452, 0.3346453011035919, 0.570949137210846, 0.5417800545692444, 0.712393581867218, 0.2558685839176178, 0.24283134937286377]"
2452,"[0.0, 0.3178234100341797, 0.0, 0.165188729763031, 0.6026870012283325, 0.0, 0.0, 0.0, 0.12302710115909576, 0.8611494302749634]"
2462,"[0.2360428422689438, 0.5555728077888489, 0.0, 0.0, 0.7602638006210327, 0.08629108965396881, 0.0, 0.20647452771663666, 0.6451568007469177, 0.20392444729804993]"
2472,"[0.086323082447052, 0.424321711063385, 0.15945181250572205, 0.39704781770706177, 0.06962312012910843, 0.5366787314414978, 0.2858744263648987, 0.18583287298679352, 0.21878661215305328, 0.9531457424163818]"
2482,"[0.10657516866922379, 0.6789830923080444, 0.8391414880752563, 1.1031547784805298, 0.7631520628929138, 0.2272556573152542, 0.06354624032974243, 0.4777309000492096, 0.0, 0.4661896526813507]"
2492,"[0.0, 0.5685322284698486, 0.14590200781822205, 0.1115424856543541, 0.0, 0.0, 0.9073927998542786, 0.3833875358104706, 0.7409480810165405, 0.614623486995697]"
2502,"[0.22819842398166656, 0.689493715763092, 0.3132965862751007, 0.13500019907951355, 0.30141475796699524, 0.11518269777297974, 0.6330360174179077, 0.918386697769165, 0.3704817295074463, 0.7939043045043945]"
2512,"[0.3311305344104767, 0.09207392483949661, 0.28776803612709045, 0.9419353008270264, 1.2281261682510376, 0.08533734083175659, 0.0, 1.377526044845581, 0.826147735118866, 0.0]"
2522,"[0.0, 0.6369838118553162, 0.1290183663368225, 0.4273156225681305, 0.0, 0.14969763159751892, 0.2742418050765991, 0.0, 0.950793981552124, 0.6584088206291199]"
2532,"[0.0653281956911087, 0.21745315194129944, 0.0, 0.3061133325099945, 0.17069585621356964, 0.2902187407016754, 0.04388459399342537, 0.5284454822540283, 0.38654592633247375, 1.1637135744094849]"
2542,"[0.5474404096603394, 0.7398680448532104, 0.2839691936969757, 0.07556755840778351, 0.4004669785499573, 0.2815781831741333, 0.5978153944015503, 1.0165671110153198, 0.15295127034187317, 0.5724491477012634]"
2552,"[0.2076566219329834, 0.7282842993736267, 0.17245329916477203, 0.33785057067871094, 0.0341145396232605, 0.05267198383808136, 0.03681918978691101, 0.09762755781412125, 0.483936607837677, 0.5546403527259827]"
2562,"[0.744428277015686, 0.7690109610557556, 0.4705507755279541, 2.0177130699157715, 0.0, 0.10922880470752716, 0.0, 0.08138914406299591, 0.3275512754917145, 0.39079928398132324]"
2572,"[0.20572200417518616, 1.0336533784866333, 0.24044020473957062, 0.5366930961608887, 0.014399006962776184, 0.23481611907482147, 0.44432204961776733, 0.6379979252815247, 0.3442412316799164, 0.363176167011261]"
2582,"[0.16033057868480682, 1.2156099081039429, 0.41510286927223206, 0.0, 0.6426309943199158, 0.3554835915565491, 0.4046773910522461, 0.3277265131473541, 0.32597479224205017, 0.14760364592075348]"
